EIN,NAME,ICO,STREET,CITY,STATE,ZIP,GROUP,SUBSECTION,AFFILIATION,CLASSIFICATION,RULING,DEDUCTIBILITY,FOUNDATION,ACTIVITY,ORGANIZATION,STATUS,TAX_PERIOD,ASSET_CD,INCOME_CD,FILING_REQ_CD,PF_FILING_REQ_CD,ACCT_PD,ASSET_AMT,INCOME_AMT,REVENUE_AMT,NTEE_CD,SORT_NAME
20531641,LEBANON KANSAS HIGH SCHOOL ALUMNI ASSOCIATION,% VERA MAYDEW,PO BOX 3,LEBANON,KS,66952-0003,0,3,3,1000,200207,1,15,0,1,1,202412.0,1,0,2,0,12,1.0,0.0,0.0,B84,
42349061,AMERICAN ASSOCATION OF AVIAN PATHOLOGISTS INC,,12627 SAN JOSE BLVD STE 202,JACKSONVILLE,FL,32223-8638,0,6,3,2000,197108,2,0,205000000,1,1,202504.0,6,6,1,0,4,1878739.0,1072829.0,1036878.0,,
30534246,ARIZONA FLAMES TRACK CLUB,% FELISSA WASHINGTON SMITH,1391 E CRESCENT WAY,CHANDLER,AZ,85249-3147,0,3,3,2000,200502,1,15,0,5,1,202508.0,0,0,2,0,8,0.0,0.0,0.0,N60,
30607183,IMAGE BEARERS MINISTRIES,% DAVE SIMS,385 N JEFF DAVIS DR STE E,FAYETTEVILLE,GA,30214-1670,0,3,3,1000,200706,1,15,0,1,1,202412.0,2,3,1,0,12,19727.0,60657.0,60657.0,X20,
20761439,CALIFORNIA PIONEER HERITAGE FOUNDATION,% S DENNIS HOLLAND,3420 COACH LN STE 11,CAMERON PARK,CA,95682-8406,0,3,3,1000,200701,1,15,0,1,1,202412.0,3,2,2,0,12,92801.0,14855.0,14855.0,X83,
30403164,LIFELINE CHURCH INC,% FELICIA TENNYSON,3011 SE 44TH ST,DEL CITY,OK,73135-1001,0,3,3,7000,200505,1,10,0,1,1,,0,0,6,0,12,,,,X20,
10642135,SEEKERS OF HIS FACE INC,% WILLIAM G COLLINS,3040 EAGLE DR,AUGUSTA,GA,30906-3326,0,3,3,7000,200207,1,10,0,1,1,,0,0,6,0,12,,,,X20,
43631930,UNITED STATES WOMENS NATIONAL SOCCER TEAM PLAYERS ASSOCIATION,% JOHN B LANGEL,4770 BASELINE RD STES 200 AND 201,BOULDER,CO,80303-2666,0,5,3,3000,200302,2,0,0,1,1,202412.0,6,6,1,0,12,4457212.0,1847619.0,1847619.0,J40,
43787580,ZULA B WYLIE LIBRARY FRIENDS,,450 PIONEER TRL,CEDAR HILL,TX,75104-1500,0,3,3,1000,200410,1,15,0,5,1,202404.0,0,0,2,0,4,0.0,0.0,0.0,B127,
30462303,PTA CALIFORNIA CONGRESS OF PARENTS TEACHERS & STUDENTS INC,% CATHERINE CRZESKOWIAK,4741 SANTA MONICA AVE,SAN DIEGO,CA,92107-2208,646,3,9,2000,194311,1,16,59035000,5,1,202406.0,4,3,1,0,6,150219.0,98677.0,95075.0,,OCEAN BEACH ELEMENTARY PTA
50631159,BAHAIS OF BRADENTON,% MRS JANET C HENNE,1700 3RD AVE W APT 107,BRADENTON,FL,34205-5942,9508,3,9,7000,199505,1,10,1000000,1,1,,0,0,6,0,12,,,,,3610 BRADENTON
10937725,PROVIDING FOR KIDS FOUNDATION,% ADRIENNE MACK,5875 S VERDUN AVE,LOS ANGELES,CA,90043-3443,0,3,3,2100,201009,1,15,0,1,1,202412.0,0,0,2,0,12,0.0,0.0,0.0,P40,
30416510,KOREAN HARVEST ROCK CHURCH,% YOUNG HO KIM,1085 ORANGEWOOD DR,BREA,CA,92821-2517,0,3,3,7000,201007,1,10,0,1,1,,0,0,6,0,12,,,,X20,
43817548,SAVANNAH YOUNG ARCHITECTS FORUM,% CAITLIN CORMISS,518 MARTIN LUTHER KING JR BLVD,SAVANNAH,GA,31401-4881,0,3,3,1000,200707,1,15,0,5,1,202312.0,0,0,2,0,12,0.0,0.0,0.0,B90,
43116623,ICLEI LOCAL GOVERNMENTS FOR SUSTAINABILITY USA INC,,1536 WYNKOOP ST STE 901,DENVER,CO,80202-1379,0,3,3,1000,199110,1,15,994000000,1,1,202312.0,6,6,1,0,12,3058286.0,2739054.0,2739054.0,C010,
43641032,OLD BETHLEHEM CHURCH,% CATHY ODOM,688 COUNTY ROAD 439,ELBA,AL,36323-6750,0,3,3,7100,200212,1,10,0,5,1,,0,0,6,0,12,,,,X21,
10907041,DELTA KAPPA GAMMA SOCIETY INTERNATIONAL,% DIANE BRASWELL,316 SHOTWELL RD,LAWRENCEBURG,TN,38464-7013,1741,6,9,2000,196506,2,0,205000000,5,1,202506.0,0,0,2,0,6,0.0,0.0,0.0,,TN PHI CHAPTER
50540620,PURCELL FAMILY CHARITABLE FOUNDATION,% EMMET J PURCELL,5299 BENTPINE COVE RD,JACKSONVILLE,FL,32224-0892,0,3,3,1000,200302,1,4,0,2,1,202410.0,4,1,0,1,10,186588.0,2784.0,,,
43690725,THE SUSTAINABLE LIVING CENTER,% KAREN YAGER,500 N TAUSICK WAY,WALLA WALLA,WA,99362-9270,0,3,3,2000,200403,1,15,0,1,1,202412.0,3,6,1,0,12,79402.0,2317937.0,2256272.0,C35,
56065386,THOMAS CARR WATSON TR UW FBO,% FLEET NATL BK TR,PO BOX 653067,DALLAS,TX,75265-3067,0,3,3,1000,197910,1,4,602000000,2,1,202412.0,7,6,0,1,12,5881992.0,1289383.0,,,
10594102,UNITY LATINOAMERICANO,% MIGUEL CORALES,10838 NW 27TH ST,DORAL,FL,33172-5907,2062,3,9,2700,197002,1,10,59029000,5,1,,0,0,6,0,12,,,,,
16190683,ALICE E AND JOSEPH C BLEWETT FOUNDATION TR,% WELLS FARGO BANK TEXAS NA,PO BOX 505,SAINT LOUIS,MO,63166-0505,0,3,3,1000,200205,1,4,0,2,1,202412.0,6,4,0,1,12,1350242.0,481505.0,,T20,
43697847,BATON ROUGE HEAD INJURY ASSOCIATION,% WILLIAM E MOAK,8598 UNITED PLAZA,BATON ROUGE,LA,70809-0000,0,3,3,1000,201711,1,15,0,1,1,202412.0,0,0,2,0,12,0.0,0.0,0.0,P20,
61757742,CHRISTIAN DISCOVERY MUSEUM,% DOUGLAS CAYWOOD,63 N OCOEE ST,CLEVELAND,TN,37311-5065,0,3,3,1270,201005,1,16,0,1,1,202412.0,0,0,2,0,12,0.0,0.0,0.0,X99,
61648104,NEW MEXICO LAND CONSERVANCY,% TRACY CONNER,5430 S RICHARDS AVE,SANTA FE,NM,87508-1386,0,3,3,1000,200305,1,15,0,1,1,202406.0,6,6,1,0,6,4753081.0,3331214.0,2724238.0,K03,
20644799,VISION INTEGRITY PROPHETIC INTERNATIONAL MINISTRIES INC,% MILLER TIMOTHY LEE SR,PO BOX 806,CAMILLA,GA,31730-0806,0,3,3,7000,200603,1,10,0,1,1,,0,0,6,0,12,,,,X20,
30570355,MINISTEREO APOSTOLICO Y PROSETICO FE EN ACCION,% SALVADOR CANAS,PO BOX 57189,LOS ANGELES,CA,90057-0189,0,3,3,7000,201512,1,10,0,1,1,,0,0,6,0,12,,,,X20,
10580854,CASCADE COMMUNITY SERVICES INC,% MARVIN A MOSS,3144 CASCADE ROAD NW,ATLANTA,GA,30311-0000,0,3,3,1000,200212,1,15,0,1,1,202412.0,4,4,1,0,12,308634.0,132299.0,132299.0,P80,
20756117,HAMMER RACING TEAM,% RICHARD VOSS,7231 S SUNDOWN CIR,LITTLETON,CO,80120-4284,0,7,3,1000,202306,2,0,0,1,1,202412.0,0,0,2,0,12,0.0,0.0,0.0,N50,
43837376,THE DEL RENDON FOUNDATION,,100 G T THAMES DR STE C1,STARKVILLE,MS,39759-8836,0,3,3,1200,201807,1,16,0,1,1,202412.0,0,0,2,0,12,0.0,0.0,0.0,,
43723837,SUTTON FAMILY FOUNDATION,% REUEL SUTTON,1401 BELLA AZUL CT,ENCINITAS,CA,92024-6217,0,3,3,1000,200304,1,4,0,5,1,202412.0,6,4,0,1,12,1511667.0,248423.0,,T20,
10430328,KANZEON INC,,32 W 200 S,SALT LAKE CTY,UT,84101-1603,0,3,3,7000,198809,1,10,1029000,1,1,,0,0,6,0,12,,,,,
50564085,THE REDEEMED CHRISTIAN CHURCH OF GOD,% CHRISTOPHER ADETORO,2700 BROADWAY BLVD,GARLAND,TX,75041-3521,0,3,3,7000,200404,1,10,0,1,1,,0,0,6,0,12,,,,X21,BREAD OF LIFE
10822880,INCARNATION CONSECRATION MISSION,% HUNG VIET NGUYEN,2580 TECUMSEH ST,BATON ROUGE,LA,70805-7971,0,3,3,7000,194603,1,10,31150120,5,1,,0,0,6,0,6,,,,X20,
50603906,PASADENA ROSEBUD ACADEMY CHARTER SCHOOL,% SHAWN L BRUMFIELD,3544 CANON BLVD,ALTADENA,CA,91001-4008,0,3,3,2000,200505,1,11,0,1,1,202306.0,6,6,1,0,6,1066188.0,2506461.0,2506461.0,B21,
10470711,DUCKS UNLIMITED INC,% DUCKS UNLIMITED INC,1 WATERFOWL WAY,MEMPHIS,TN,38120-2350,9352,3,9,2800,195606,1,15,0,1,1,,0,0,2,0,6,,,,,ROYAL RIVER CHAPTER ME025
30435279,PTA TEXAS CONGRESS,% DEBBIE WATSON,1025 HOLY GRAIL DR,LEWISVILLE,TX,75056-5732,1889,3,9,2000,196709,1,16,0,1,1,202506.0,3,4,1,0,6,26319.0,137438.0,92129.0,,CASTLE HILLS ELEMENTARY
20663850,BRIGHTLIGHT CHRISTIAN FELLOWSHIP MINISTRIES,% JOHN W LESTER,1017 SLATER ST,VALDOSTA,GA,31601-3936,0,3,3,7000,200305,1,10,0,1,1,,0,0,6,0,12,,,,X20,
10872221,BASS LAKE HEIGHTS MUTUAL WATER CO INC,,PO BOX 684,OAKHURST,CA,93644-0684,0,12,3,1000,200710,2,0,0,1,1,202412.0,4,3,1,0,12,236374.0,84792.0,84792.0,Y22,
10944663,RIVER OF LIGHT CHURCH OF GOD,,1304 CORDER RD,WARNER ROBINS,GA,31088-3748,2358,3,9,7000,197210,1,10,1000000,5,1,,0,0,6,0,12,,,,,
20708385,PALMETTO DELTA DEVELOPMENT CORP,% SARAH LEE,2242 E E WALLACE BLVD N STE 2,FERRIDAY,LA,71334-2230,0,3,3,1000,200406,1,4,0,1,1,,1,1,0,0,12,,,,L21,
30584476,HEARTLAND LAB RESCUE INC,% ALEX YAFFE,PO BOX 30691,EDMOND,OK,73003-0012,0,3,3,4120,200607,1,15,0,1,1,202212.0,3,2,2,0,12,25162.0,18125.0,18125.0,D20,
30481427,SAN JOSE OBRERO FOUNDATION CORP,% JOSEFINA CARRERAS,PO BOX 451007,MIAMI,FL,33245-1007,0,3,3,1000,200306,1,15,0,1,1,202412.0,2,3,1,0,12,23520.0,92492.0,92492.0,T30,
50492943,DIGITAL CLUBHOUSE NETWORK,,1650 SENTER RD,SAN JOSE,CA,95112-2599,0,3,3,2000,199701,1,15,994149000,1,1,202412.0,0,0,2,0,12,0.0,0.0,0.0,J22,
20590137,WILSON ANTHONY INCORPORATED,% SYLVIA WILSON,2882 S CLARK DR,EAST POINT,GA,30344-6869,0,3,3,1000,200501,1,15,0,1,1,202412.0,0,0,2,0,12,0.0,0.0,0.0,R30,
46468631,LOUIS BAER TRUST UW T-16589,% STATE STREET BANK & TRUST CO,PO BOX 653067,DALLAS,TX,75265-3067,0,92,0,1000,0,0,0,0,0,12,202412.0,3,2,0,1,12,81683.0,15914.0,,,
20591102,CELEBRATION CHURCH,% REV MARK ROBERTS,PO BOX 80895,BAKERSFIELD,CA,93380-0895,1446,3,9,7000,195902,1,10,268120230,5,1,,0,0,6,0,12,,,,,
43736523,CORSICANAS PALACE THEATRE,% MALINDA VELDMAN,PO BOX 408,CORSICANA,TX,75151-0408,0,3,3,1000,200306,1,16,0,1,1,202412.0,3,4,1,0,12,54503.0,401509.0,303922.0,A61,
10975346,WOOD RIVER BICYCLE COALITION,% BRETT STEVENSON,PO BOX 756,HAILEY,ID,83333-0751,6236,3,9,1000,201610,1,15,0,1,1,202412.0,5,5,1,0,12,654899.0,618091.0,612030.0,N32,
16011126,ELEANOR S WOODMAN TR FBO OAK GROVE,% NORSTAR TRUST CO,PO BOX 653067,DALLAS,TX,75265-3067,0,92,3,1000,197012,0,0,909000000,6,12,202404.0,4,2,0,1,4,133294.0,18630.0,,,
10760115,GEUDAFEST PLANNING COMMITTEE,% SHANNON WENDT,PO BOX 4,GEUDA SPRINGS,KS,67051-0004,0,4,3,3000,200303,2,0,0,5,1,202212.0,0,0,2,0,12,0.0,0.0,0.0,N52,
30552932,POLYNESIAN ASSOCIATION OF ALASKA INC,% NA,8060 COUNTRY WOODS DR,ANCHORAGE,AK,99502-4616,0,3,3,1200,200606,1,15,0,1,1,202412.0,3,5,1,0,12,49296.0,828352.0,272041.0,P84,
43591762,SJW WRESTLING,% CHARLES R VAUGHN,3509 S SUNDOWN DR,SPOKANE VLY,WA,99206-9547,0,3,3,2000,200303,1,16,0,1,1,202312.0,0,0,2,0,12,0.0,0.0,0.0,N60,
10554858,ANANDA FOUNDATION,% MOHAN ANANDA,PO BOX 3930,DANA POINT,CA,92629-8930,0,3,3,1000,200207,1,3,0,1,1,202412.0,7,4,0,1,12,8462899.0,219605.0,,T22,
10785601,FAITHFUL SERVANTS COMMUNITY HEALTH EDUCATION SERVICES INC,% MARYANN M WORTS,9480 POINCIANA PLACE,FORT LAUDERDALE,FL,33324-4887,0,3,3,2000,202301,1,15,0,1,1,202412.0,0,0,2,0,12,0.0,0.0,0.0,E70,
30434567,PROJECT IMAGINATION INC,% MITCHELL OREAR,5519 STULL AVE,ORLANDO,FL,32810-4528,0,3,3,1000,201010,1,15,0,1,1,202412.0,0,0,2,0,12,0.0,0.0,0.0,A65,
20532685,INNER VISIONS PACIFIC NORTHWEST BREAST CANCER ART ASSOCIATION,% ALISON LONGLEY,PO BOX 1755,FRIDAY HARBOR,WA,98250-1755,0,3,3,1200,200208,1,15,0,1,1,202412.0,0,0,2,0,12,0.0,0.0,0.0,E86,
61733585,MISION CRISTIANA PENTECOSTES ESCAPA POR TU VIDA,% RIGOBERTO MARIN,PO BOX 77515,LOS ANGELES,CA,90007-0515,0,3,3,7000,201811,1,10,0,1,1,,0,0,6,0,12,,,,X21,
56071602,HILDA SULLIVAN TRUST FOR THE BENEFIT OF PROVIDENCE COLLEGE,,PO BOX 653067,DALLAS,TX,75265-3067,0,3,3,1000,198503,1,4,40000000,2,1,202409.0,4,3,0,1,9,203307.0,27717.0,,,FLEET INVESTMENT SERVICES
20554604,WASHINGTON INFORMATION NETWORK 2-1-1,% JERI SHUMATE,304 W LINCOLN AVE,YAKIMA,WA,98902-2656,0,3,3,1200,200204,1,15,0,1,1,202412.0,5,6,1,0,12,665558.0,2481100.0,2481100.0,E99,
43793319,ALABAMA ASSOCIATION OF FEDERAL EDUCATION PROGRAM ADMINISTRATORS,% KAREN JENSEN,211 CELTIC DR,MADISON,AL,35758-1853,0,4,3,2000,200409,2,0,0,5,1,202509.0,4,4,1,0,9,148150.0,167651.0,167651.0,W032,AAFEPA
10685409,LONE STAR FAITHFULL GOSPEL CHURCH INC,% FRANK WHITESIDE,4528 HIGHWAY 7 S,HARRISON,AR,72601-5053,3095,3,9,7000,197709,1,10,1029000,5,1,,0,0,6,0,12,,,,,
20681855,OUT & EQUAL,% K SELISSE BERRY,1901 HARRISON ST STE 1100,OAKLAND,CA,94612-3648,0,3,3,1200,200310,1,15,0,1,1,202406.0,8,8,1,0,6,13362025.0,15172285.0,15172285.0,V30,OUT & EQUAL WORKPLACE ADVOCATES
20558856,ATLANTA ANIMAL RESCUE FRIENDS INC,% SUSAN LEISURE EX,951 MAIN ST,STONE MTN,GA,30083-3061,0,3,3,1200,200210,1,15,0,1,1,202312.0,4,5,1,0,12,307279.0,669141.0,332991.0,D20,
20565600,SUMMITWEST CARE,% CHARLEEN RAAUM CEO,2800 PRINTERS WAY SUITE 200,GRAND JUNCTION,CO,81506-3944,0,3,3,1000,200306,1,15,0,1,1,202412.0,7,7,1,0,12,5012482.0,7247649.0,7247649.0,E92,
46011934,GENNIE B ROBINSON TRUST,% FLEET PRIVATE CLIENTS GROUP,PO BOX 653067,DALLAS,TX,75265-3067,0,92,0,1000,0,0,0,0,0,12,202409.0,6,4,0,1,9,1713895.0,212715.0,,,FLEET NATIONAL BANK
10720556,MESA ANGELS FOUNDATION INC,% CHRIS PAPPAIOANOU,410 N 44TH ST STE 700,PHOENIX,AZ,85008-7608,0,3,3,1000,200209,1,15,0,1,1,202409.0,0,0,2,0,9,0.0,0.0,0.0,M20,
50560706,THE UNIVERSITY OF SPIRITUAL HEALING AND SUFISM THROUGH THE RELIGION OF,% MAXINE ADELSTEIN,PO BOX 729,ANGWIN,CA,94508-0729,0,3,3,1270,200311,1,11,0,1,1,,0,0,13,0,7,,,,X99,
50603075,PTA FLORIDA CONGRESS,% WALKER ELEMNTARY,3101 SNOW HILL RD,CHULUOTA,FL,32766-6724,2149,3,9,2000,197102,1,15,59035000,2,1,202506.0,2,3,2,0,6,11764.0,48752.0,44608.0,,WALKER ELEMENTARY SCHOOL PTA
10914534,IGLESIA DE LOS HECHOS PENTECOSTES,,1652 E ST,NAPA,CA,94559-1040,1678,3,9,7000,196408,1,10,1002029,5,1,,0,0,6,0,3,,,,,FERNANDO AVILA
61358834,ILLUMINATING ENGINEERING SOCIETY,% GREG HEBETS LC,6 PORCELANA,RCHO STA MARG,CA,92688-3425,9246,3,9,2800,199102,1,16,0,1,1,,0,0,2,0,12,,,,,ORANGE COUNTY SECTION
10717017,PHILIPPINE DANCE COMPANY OF SAN ANTONIO INC,% LYNDON J DUANO,7027 WESTERN SKIES,SAN ANTONIO,TX,78240-3583,0,3,3,1000,200306,1,16,0,1,1,202505.0,0,0,2,0,5,0.0,0.0,0.0,A68,
30551448,CHRISTIAN METHODIST EPISCOPAL CHURCH,% LORA LEWIS,1700 AMANDA AVE,FORT WORTH,TX,76105-2872,8511,3,9,7000,198009,1,10,1002000,5,1,,0,0,6,0,12,,,,X21,STEWART CHAPEL CME CHURCH
20732964,PRINCETON COMMUNITY EAGLES,% JANET HANSEN,PO BOX 232,PRINCETON,CA,95970-0232,0,3,3,1000,200703,1,15,0,5,1,202412.0,0,0,2,0,12,0.0,0.0,0.0,N19,
43044044,INTERNATIONAL DEAF TEK INC,% BRENDA MOENNE,25000 E ELLSWORTH DR,AURORA,CO,80018-4607,0,3,3,1000,199208,1,16,160603000,1,1,202304.0,0,0,2,0,4,0.0,0.0,0.0,,IDT COMMUNICATIONS
20612382,LIFE CHANGING WORD MINISTRY,% DR SHARON A WEBB,3569 MCCORKLE RD,MEMPHIS,TN,38116-3923,0,3,3,1700,200211,1,10,0,1,1,,1,4,6,0,12,,,,X20,
20639610,CAMP JOY MINISTRIES,% JEFF D MARTIN,1087 E STATE HIGHWAY 96,ORONOGO,MO,64855-8113,0,3,3,7000,200303,1,10,0,1,1,,0,0,6,0,12,,,,X21,
20583552,JAMES R DOUGHERTY JR FOUNDATION INC,% BEN F VAUGHAN III,PO BOX 640,BEEVILLE,TX,78104-0640,0,3,3,1000,200205,1,4,0,1,1,202412.0,6,6,0,1,12,4867020.0,1197283.0,,T22,
46010540,IDA S CHARLTON CHARITY FUND 1-6711-2,% THE FIRST NATL BANK OF BOSTON TTE,PO BOX 653067,DALLAS,TX,75265-3067,0,92,3,1000,197012,0,0,909000000,6,12,202412.0,6,4,0,1,12,2332887.0,480501.0,,,
56123362,GLADYS L BRONSON IRRV TR UA CH HOME,% FLEET PRIVATE CLIENTS GROUP,PO BOX 653067,DALLAS,TX,75265-3067,0,3,3,1000,200304,1,4,0,2,1,202503.0,6,4,0,1,3,1617964.0,340593.0,,P117,
50610914,CLEVELAND COUNTY BAR ASSOCIATION FOUNDATION INC,% STEPHEN W BONNER,PO BOX 1492,NORMAN,OK,73070-1492,0,3,3,1000,200503,1,15,0,1,1,202412.0,0,0,2,0,12,0.0,0.0,0.0,T23,
46008250,CHARLES W HOLTZER FUND 1-1928-0,,PO BOX 653067,DALLAS,TX,75265-3067,0,92,3,1000,0,0,0,928000000,5,12,202409.0,4,3,0,1,9,329595.0,40569.0,,,
61639076,HAITIAN PENTECOSTAL CHURCH INC,% ROGES ESTICA PASTOR,5500 HAVERFORD WAY,LAKE WORTH,FL,33463-6643,0,3,3,1000,200301,1,10,0,1,1,,0,0,6,0,12,,,,X21,
10736560,LA PLAYA HOUSING CORPORATION,% SAN FRANCISCO HOUSING DEVELOPMENT,4439 3RD ST,SAN FRANCISCO,CA,94124-2103,0,3,3,1000,202011,1,16,0,1,1,202406.0,1,0,2,0,6,1.0,0.0,0.0,L20,
20613317,M J & A W CARSON FOUNDATION,% MARY CARSON DAVENPORT,901 MAIN ST STE 3700,DALLAS,TX,75202-3742,0,3,3,1000,200209,1,4,0,1,1,202412.0,5,4,0,1,12,993634.0,487743.0,,T22,
20721475,WAY WORLD OUTREACH MINISTRIES,% MARCO AND OR LIZA GARCIA,4680 HALLMARK PKWY,SN BERNRDNO,CA,92407-1816,0,3,3,7000,200410,1,10,0,1,1,,0,0,6,0,12,,,,X20,THE WAY
30560357,COUNTRY DANCE & SONG SOCIETY INC,% PETER TURNER,PO BOX 13224,GAINESVILLE,FL,32604-1224,9228,3,9,1000,199305,1,16,90000000,1,1,202412.0,0,0,2,0,12,0.0,0.0,0.0,,GAINESVILLE OLDTIME DANCE SOCIETY
43662333,GRACE COMMUNITY BAPTIST CHURCH,,PO BOX 530007,ST PETERSBURG,FL,33747-0007,2024,3,9,7200,196908,1,10,59029000,5,1,202309.0,0,0,2,0,9,0.0,0.0,0.0,,
46020918,KING FAMILY FUND TRUST NECT,,PO BOX 653067,DALLAS,TX,75265-3067,0,3,3,1000,197012,1,4,928000000,6,12,202412.0,6,5,0,1,12,1937923.0,593397.0,,,
56004655,FRANK B HAZARD TRUST 2-5789 UW FBO HOME FOR THE AGED WOMEN NECT,% A BANK OF AMERICA CO,PO BOX 653067,DALLAS,TX,75265-3067,0,92,0,1000,0,0,0,0,0,12,202412.0,4,3,0,1,12,129619.0,29821.0,,,FLEET NATIONAL BANK
10677281,EAST BAKER HISTORICAL AND TWENTY-FIRST CENTURY COMMUNITY COR,%,PO BOX 738,NEWTON,GA,39870-0738,0,3,3,1000,200210,1,15,0,1,1,202412.0,4,4,1,0,12,405643.0,124192.0,124192.0,B90,
30485501,INFLUENCE 1,% ROBERT LEMOYNE ROBINSON,665 MADISON AVE,MEMPHIS,TN,38103-3307,0,3,3,2100,200307,1,15,0,1,1,202406.0,7,7,1,0,6,5878117.0,5360986.0,5360986.0,B19,
30463720,THE TEMPLE,% CHARLES POTTS,129 E ALDER STE C,WALLA WALLA,WA,99362-1962,0,3,3,7000,200209,1,10,0,1,1,,0,0,6,0,12,,,,X99,
43712355,FLORIDA MASONRY APPRENTICE AND EDUCATION FOUNDATION INC,% PATRICK MCLAUGHLIN,6353 LEE VISTA BLVD,ORLANDO,FL,32822-4705,0,3,3,2000,200402,1,15,0,1,1,202412.0,5,6,1,0,12,580027.0,1103660.0,1103660.0,B30,
43739744,NEW PLAINVIEW BAPTIST CHURCH,,3770 OLD HIGHWAY 100 S,TALLAPOOSA,GA,30176-4061,1702,3,9,7000,196412,1,10,1029000,5,1,,0,0,6,0,12,,,,,
10930708,FOUNDATION MINISTRIES,% DEE VANDEBRAKE,3804 S POPLAR AVE,BROKEN ARROW,OK,74011-1628,7086,3,9,7000,198406,1,10,1007029,1,1,,0,0,6,0,12,,,,,ROBERT VANDEBRAKE MINISTRIES INC
10892129,ROTARY INTERNATIONAL,% FERRIS WEHBE,1322 N MCCADDEN PL,LOS ANGELES,CA,90028-7771,573,4,9,3000,194209,2,0,520349200,1,1,202406.0,0,0,2,0,6,0.0,0.0,0.0,,LOS ANGELES CEDARS
61775915,GUARDIAN ANGELS OF AMERICA FOUNDATION,% FLORENCIA HERRERA,PO BOX 1035,FULLERTON,CA,92836-8035,0,3,3,1000,200609,1,15,0,1,1,202412.0,0,0,2,0,12,0.0,0.0,0.0,P20,
56127256,MABEL T WOOLEY TR 66353105,% FLEET NATIONAL BANK PAUL SILVER,PO BOX 653067,DALLAS,TX,75265-3067,0,3,3,1000,200308,1,4,0,2,1,202412.0,6,4,0,1,12,2738279.0,332640.0,,T22,SILVER PAUL A CO-TTEE
10948666,DELIVERING HOPE FOUNDATION INC,% DENISE TALLANT,2300 BETHELVIEW RD STE 110 PMB 243,CUMMING,GA,30040-3100,0,3,3,1000,201009,1,16,0,1,1,202412.0,0,0,2,0,12,0.0,0.0,0.0,F99,
46047110,ELLIOT M GROVER TRUST,,PO BOX 653067,DALLAS,TX,75265-3067,0,3,3,1000,197211,1,4,59040000,2,1,202409.0,4,3,0,1,9,257909.0,34634.0,,,
